date;US;Germany;Italy;Spain;Korea, South
2022-03-31;80110998;21357095;14642354;11508309;13375818
2022-04-01;80143215;21357039;14719394;11551574;13639915
2022-04-02;80155021;21553495;14790806;11551574;13874216
2022-04-03;80159776;21668677;14845815;11551574;14001406
2022-04-04;80188680;21668677;14877144;11551574;14267401
2022-04-05;80214283;21849074;14966058;11578653;14553644
2022-04-06;80255230;22265788;15035943;11578653;14778405
2022-04-07;80305865;22441051;15106066;11578653;14983694
2022-04-08;80380887;22591726;15173707;11627487;15169189
2022-04-09;80393599;22647197;15238128;11627487;15333670
2022-04-10;80403130;22677986;15292048;11627487;15424598
2022-04-11;80443471;22878428;15320753;11627487;15635274
2022-04-12;80479208;23017079;15404809;11662214;15830644
2022-04-13;80534594;23182447;15467395;11662214;15979061
2022-04-14;80585252;23339311;15533012;11662214;16104869
2022-04-15;80620694;23376879;15595302;11662214;16212751
2022-04-16;80633029;23416663;15659835;11662214;16305752
2022-04-17;80640533;23437145;15712088;11662214;16353495
2022-04-18;80701920;23459628;15730676;11662214;16471940
2022-04-19;80741179;23658211;15758002;11736893;16583220
2022-04-20;80810116;23844536;15858442;11736893;16674045
2022-04-21;80871811;24006254;15934437;11736893;16755055
2022-04-22;80961863;24141333;16008181;11786036;16830469
2022-04-23;80981592;24180512;16079209;11786036;16895194
2022-04-24;80995080;24200596;16136057;11786036;16929564
2022-04-25;81065282;24337394;16161339;11786036;17009865
2022-04-26;81110631;24337394;16191323;11833457;17086626
2022-04-27;81200645;24609159;16279754;11833457;17086626
2022-04-28;81277998;24710769;16349788;11833457;17194616
2022-04-29;81339187;24798067;16409183;11896152;17237878
2022-04-30;81363166;24809785;16463200;11896152;17275649
2022-05-01;81379868;24813817;16504791;11896152;17295733
2022-05-02;81474572;24927339;16523859;11896152;17346753
2022-05-03;81524161;25033970;16586268;11953481;17395791
2022-05-04;81636184;25130137;16633911;11953481;17438068
2022-05-05;81724733;25215210;16682626;11953481;17464782
2022-05-06;81853494;25287462;16726990;12009059;17504334
2022-05-07;81881314;25295950;16767773;12009059;17544398
2022-05-08;81887077;25299300;16798998;12009059;17564999
2022-05-09;82017087;25406868;16816419;12058888;17614895
2022-05-10;82087331;25503878;16872618;12058888;17658794
2022-05-11;82247514;25592839;16915301;12058888;17694677
2022-05-12;82361495;25661838;16954784;12058888;17727086
2022-05-13;82448868;25723697;16993813;12127122;17756627
2022-05-14;82465925;25729848;17030147;12127122;17782061
2022-05-15;82498035;25732153;17057873;12127122;17795357
2022-05-16;82676743;25818405;17071649;12127122;17830429
2022-05-17;82761333;25890456;17116550;12179234;17861744
2022-05-18;82965087;25949175;17147477;12179234;17889849
2022-05-19;83100241;25998085;17178199;12179234;17914957
2022-05-20;83249275;26040460;17205017;12179234;17938399
2022-05-21;83276205;26044283;17229263;12234806;17957697
2022-05-22;83295787;26045528;17247552;12234806;17967672
2022-05-23;83438243;26109965;17257573;12234806;17993985
2022-05-24;83521247;26159106;17288287;12238073;18017923
2022-05-25;83731296;26198811;17312432;12238073;18036720
2022-05-26;83876743;26200663;17333299;12280345;18053287
2022-05-27;83984706;26240639;17355119;12326264;18067669
2022-05-28;83997388;26243352;17373741;12326264;18080323
2022-05-29;84003156;26244107;17388877;12326264;18086462
2022-05-30;84064067;26305996;17396723;12326264;18103638
2022-05-31;84233849;26360953;17421410;12326264;18119415
2022-06-01;84460920;26409455;17440232;12360256;18129313
2022-06-02;84582309;26452148;17457950;12360256;18141835
2022-06-03;84739368;26493235;17467642;12403245;18153851
2022-06-04;84765524;26493235;17490451;12403245;18163686
2022-06-05;84779980;26496611;17505973;12403245;18168708
2022-06-06;84941110;26498361;17514589;12403245;18174880
2022-06-07;85026517;26583016;17543136;12436538;18188200
2022-06-08;85224519;26660652;17566061;12436538;18200346
2022-06-09;85366434;26738530;17589595;12436538;18209650
2022-06-10;85472998;26803867;17611607;12478994;18218078
2022-06-11;85506401;26803867;17634065;12478994;18225460
2022-06-12;85515831;26809245;17653375;12478994;18229288
2022-06-13;85666972;26915085;17664043;12478994;18239056
2022-06-14;85759237;27007429;17703887;12515127;18248479
2022-06-15;85942237;27096571;17736696;12515127;18256457
2022-06-16;86058228;27124689;17773764;12515127;18263643
2022-06-17;86216418;27204953;17809934;12563399;18270481
2022-06-18;86230982;27204955;17844905;12563399;18276552
2022-06-19;86246101;27211896;17879160;12563399;18280090
2022-06-20;86297081;27334993;17896065;12563399;18289373
